TimeSinceCollection,Timestamp,PlantarValue
448,2922354,6;0;3;6;0;1;3;6;0;1;2;7;0;1;3;6;0;2;2;6;0;2;2;4;7;0;2;3;4;0;6;0;2;3;4;0;0;2;3;3;0;0;2;4;0
464,2922370,6;0;2;6;0;1;2;8;0;3;2;6;0;2;3;6;0;2;2;6;0;2;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;0;2;3;0;1;2;6;0
480,2922386,7;0;1;6;0;2;2;6;0;2;2;7;0;3;2;6;0;1;3;7;0;2;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;1;4;0;2;4;4;0
496,2922402,6;1;1;6;0;1;3;6;0;1;3;6;0;2;3;6;0;1;3;6;0;2;3;3;6;0;1;2;3;0;6;0;2;2;4;0;0;1;2;4;0;2;2;4;0
512,2922418,7;0;1;7;0;1;3;7;0;0;2;6;0;2;3;6;0;1;1;6;0;1;2;4;7;0;2;2;4;0;6;0;1;3;4;0;0;1;2;4;0;2;2;4;0
528,2922434,6;0;1;6;0;2;2;6;0;1;1;6;0;2;3;6;0;2;2;6;0;2;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;1;4;4;2;3;4;0
544,2922450,6;0;1;6;0;2;3;6;0;1;3;6;0;1;2;5;0;1;3;5;0;2;2;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;2;4;0;1;3;4;0
560,2922466,6;0;2;6;0;1;2;6;0;1;3;6;0;2;3;6;0;1;2;6;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;1;2;4;0
576,2922482,6;0;2;6;0;2;2;6;0;1;2;6;0;2;2;6;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;4;3;4;0;2;2;4;0
592,2922498,6;0;2;6;0;1;3;6;0;2;4;6;0;2;3;6;0;2;2;6;0;1;2;4;6;0;2;2;4;1;6;0;2;3;4;0;1;2;3;6;1;2;3;4;0
608,2922514,7;0;2;6;0;2;3;6;0;1;2;6;0;1;3;6;0;1;3;6;0;3;3;4;6;0;1;2;3;0;6;0;3;3;4;0;0;2;2;4;0;1;2;3;0
624,2922530,6;0;1;6;0;1;3;6;0;1;2;6;0;1;2;6;0;3;2;6;0;2;2;4;6;0;1;2;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;4;0
640,2922546,7;0;1;6;0;1;3;6;0;1;3;6;0;1;3;6;0;2;3;6;0;2;4;4;6;0;1;2;4;0;6;1;2;3;4;0;0;3;1;4;4;1;2;4;0
656,2922562,7;0;1;6;0;2;3;6;0;1;2;7;0;2;3;6;0;2;2;6;0;2;2;4;5;0;1;3;4;0;6;0;1;2;4;0;0;2;2;4;0;2;3;4;0
672,2922578,6;0;2;7;0;2;2;6;0;2;2;6;0;1;3;6;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;2;2;4;0;2;3;4;0
688,2922594,6;0;1;6;0;2;3;6;0;2;3;6;0;1;2;6;0;1;2;6;0;1;3;4;6;0;1;2;4;0;6;0;1;3;4;6;6;2;3;4;0;2;2;4;0
704,2922610,7;2;2;6;0;2;3;7;0;1;2;5;0;2;3;8;0;2;2;6;0;2;2;4;7;0;2;3;4;0;6;0;2;3;4;0;0;3;3;4;0;2;2;4;0
720,2922626,7;0;1;6;0;1;3;7;0;1;2;6;0;1;2;6;0;1;2;6;0;2;3;4;6;0;1;3;4;0;6;0;2;3;4;0;0;0;2;4;0;1;3;4;0
736,2922642,6;0;2;6;0;2;2;6;0;2;2;6;0;2;3;6;0;1;2;7;0;2;2;4;7;0;1;3;4;0;6;0;2;3;4;0;1;3;3;4;0;2;3;4;0
752,2922658,6;0;1;6;0;2;2;6;0;2;3;6;0;2;2;6;0;2;2;7;0;1;2;4;6;0;1;2;4;0;6;0;1;3;4;0;0;2;3;4;0;1;2;4;0
768,2922674,7;0;1;6;0;1;2;6;0;2;2;6;0;2;2;6;0;2;2;6;0;2;2;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;3;4;0;1;3;4;0
784,2922690,6;0;2;4;0;2;2;6;0;1;3;6;0;2;2;6;0;2;3;6;0;2;2;4;6;0;3;2;4;0;6;0;2;2;4;0;0;1;3;4;0;2;3;4;0
800,2922706,6;0;1;6;0;1;3;6;0;2;3;6;0;1;3;6;0;1;3;6;0;2;3;4;6;0;2;2;4;0;6;0;1;2;4;0;0;1;2;4;0;2;3;4;0
816,2922722,7;0;2;6;0;2;3;6;0;1;3;6;0;1;2;6;0;2;2;6;1;3;2;4;6;0;1;2;4;0;6;0;1;3;4;0;0;2;3;4;0;2;2;4;0
832,2922738,6;0;2;6;0;1;3;6;0;2;3;7;0;3;2;6;0;2;2;6;0;1;3;4;6;0;2;3;4;0;6;0;2;2;5;0;0;2;1;4;0;2;3;4;0
