0,0,0
0,0,0
1.79211609737791e-06,1.13569521052047e-05,1.20179319661257e-06
5.4592255253553e-06,3.40181226429957e-05,4.80445231976501e-06
1.06800376676733e-05,6.82830444662274e-05,9.80417391886704e-06
4.26225475667828e-06,-7.18936523802525e-06,-8.91294397519081e-08
-2.56744658038247e-06,-2.82691605876926e-05,-4.42563502825111e-07
-1.22946712608372e-05,-3.87614653417772e-05,-3.86820632759001e-07
-1.5735878050183e-05,-5.47083592441118e-05,-1.52481443612384e-07
-1.28522895484356e-05,-5.85858326449905e-05,2.17291424052271e-07
-6.5698053198996e-06,-5.94848070190673e-05,-5.7258686204589e-07
-5.31124179132552e-06,-5.97822725576804e-05,-1.82270330768756e-07
-3.57505844474401e-06,-5.97906839719638e-05,-4.98545792777413e-08
-2.70832976299992e-06,-6.04284604253827e-05,4.50425647906017e-07
-6.14191530011719e-07,-6.18983532363643e-05,1.02119144262523e-06
-1.39141447964796e-06,-6.27737349063075e-05,1.07892379519772e-06
1.50663927485274e-06,-6.40917472915627e-05,1.04066015118783e-06
3.82424064996561e-06,-6.5985159869597e-05,5.74427743590055e-07
5.88084470324578e-06,-6.74590135160771e-05,2.74667645460466e-07
6.41725555270213e-06,-6.80969876818294e-05,6.24844897874652e-07
3.81093364297723e-06,-6.53354628419089e-05,5.08576557285708e-07
2.92573120461391e-06,-6.16253544281769e-05,9.11374642701907e-07
-1.08473568422515e-06,-6.10062578721078e-05,7.34690144391832e-07
-2.78298546943435e-06,-5.577525091431e-05,9.10946521877073e-07
-4.02413835083529e-06,-5.31315249634352e-05,1.04902214582908e-06
-7.36298618134632e-06,-4.97531813197498e-05,1.682201441888e-06
-1.13936485408307e-05,-4.99856879759343e-05,1.87881666786843e-06
-8.75135764632596e-06,-4.96896245617045e-05,1.33303719222336e-06
-7.67112852811589e-06,-4.97369632444221e-05,1.56503490293967e-06
-1.00660062243372e-05,-4.97902897721384e-05,1.34357398158944e-06
-1.18422587437128e-05,-5.00504501099378e-05,8.38931636195632e-07
-1.19067660979973e-05,-4.92494763174174e-05,1.04120336105078e-06
-9.9860362193634e-06,-4.88181828371848e-05,8.32689645787632e-07
