TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
156,1107304,0.915527,0.427246,0.0610352,-87.55,-5.81726,-172.513,0.0239258,-9.68516,1.32549,-0.0120239,0.081665,-0.687073,0.721832,-106.708,83.3083,-9.775,-7325,-28864
162,1107310,0.915527,0.305176,0.0610352,-87.5391,-5.79529,-172.365,-0.0478516,-9.67559,1.3542,-0.013092,0.0823975,-0.68689,0.721863,-106.675,83.3,-9.78333,-7325,-28864
168,1107316,0.671387,0.305176,-0.549316,-87.5171,-5.75684,-172.068,0.0334961,-9.68037,1.36855,-0.0151978,0.0839233,-0.686584,0.721954,-106.642,83.3167,-9.83333,-7325,-28864
174,1107322,0.488281,0.244141,-0.244141,-87.5116,-5.73486,-171.92,0.0239258,-9.63731,1.40684,-0.0162659,0.0846863,-0.686432,0.721985,-106.625,83.325,-9.83333,-7325,-28864
180,1107328,0.183105,0.12207,-0.366211,-87.5006,-5.71289,-171.771,0.0191406,-9.63731,1.37334,-0.017334,0.0854492,-0.686279,0.722015,-106.625,83.3417,-9.84167,-7325,-28864
186,1107334,0,0.0610352,-0.671387,-87.4951,-5.69641,-171.623,-0.00957031,-9.65166,1.34463,-0.0183716,0.0862122,-0.686127,0.722046,-106.633,83.3667,-9.85833,-7325,-28864
192,1107340,-0.183105,0,-1.15967,-87.4841,-5.67993,-171.48,-0.0143555,-9.63252,1.31592,-0.0193787,0.0869751,-0.686005,0.722046,-106.608,83.3917,-9.86667,-7325,-28864
198,1107346,-0.305176,-0.12207,-1.15967,-87.4731,-5.64697,-171.183,0.0669922,-9.6708,1.3877,-0.0214539,0.088562,-0.68573,0.722076,-106.6,83.4417,-9.85833,-7325,-28864
204,1107352,-0.854492,-0.12207,-1.28174,-87.4731,-5.63599,-171.035,0.0430664,-9.72344,1.33984,-0.0224609,0.089325,-0.685608,0.722046,-106.583,83.45,-9.8,-7325,-28864
210,1107358,-1.0376,0,-1.34277,-87.4677,-5.61951,-170.892,0.0334961,-9.76172,1.29678,-0.023468,0.0901184,-0.685486,0.722046,-106.567,83.45,-9.75,-7325,-28864
216,1107364,-0.915527,-0.305176,-1.40381,-87.4677,-5.60852,-170.744,0.0430664,-9.78564,1.27285,-0.0244751,0.0909119,-0.685364,0.722015,-106.55,83.4583,-9.7,-7325,-28864
222,1107370,-0.610352,-0.183105,-1.40381,-87.4622,-5.59204,-170.601,0.114844,-9.79521,1.28721,-0.0254822,0.0917053,-0.685242,0.722015,-106.533,83.4583,-9.675,-7325,-28864
228,1107376,-0.793457,0,-1.83105,-87.4567,-5.57007,-170.31,0.062207,-9.76172,1.26807,-0.0274658,0.0932922,-0.684967,0.721985,-106.492,83.4417,-9.8,-7325,-28864
234,1107382,-0.488281,0.0610352,-1.34277,-87.4512,-5.55359,-170.167,0.0669922,-9.74258,1.36855,-0.0284424,0.0940552,-0.684845,0.721985,-106.483,83.4083,-9.875,-7325,-28864
240,1107388,-0.915527,0,-1.70898,-87.4457,-5.5426,-170.024,0.110059,-9.77607,1.34463,-0.0294189,0.0948181,-0.684692,0.721954,-106.467,83.3667,-9.93333,-7325,-28864
246,1107394,-1.09863,-0.183105,-1.64795,-87.4457,-5.53162,-169.876,0.267969,-9.91963,1.26807,-0.0303955,0.0956116,-0.68457,0.721924,-106.483,83.3167,-9.98333,-7325,-28864
