TimeSinceCollection,Timestamp,PlantarValue
464,63536,631;962;871;615;758;1043;982;536;849;692;716;144;477;570;140;124;240;335;120;200;469;200;235;132;339;482;477;378;383;331;53;292;265;259;429;393;12;4;4;116;49;140;58;117;128
480,63552,638;965;875;618;761;1048;985;543;851;698;721;145;480;574;145;128;244;339;125;203;472;204;235;128;339;485;479;381;385;336;52;293;267;260;431;392;12;4;4;116;49;140;58;118;128
496,63568,647;971;882;622;769;1054;987;546;857;701;725;145;486;576;146;125;244;339;128;203;466;203;236;128;341;485;480;382;385;339;53;293;268;261;433;396;12;4;4;117;49;140;58;117;128
512,63584,648;975;885;623;773;1059;991;550;860;704;727;145;487;577;149;125;246;340;126;206;469;206;236;130;340;485;481;383;387;339;53;294;267;260;433;395;11;9;4;115;49;142;59;116;126
528,63600,655;980;891;629;781;1065;996;555;858;710;730;147;491;581;150;126;248;341;126;207;470;207;236;131;340;486;482;383;387;339;53;294;266;262;434;397;12;4;3;117;49;142;58;114;126
544,63616,659;986;898;633;785;1073;1000;560;866;713;734;149;493;584;151;125;252;342;128;207;472;209;236;132;341;485;481;382;387;338;53;294;265;262;430;397;12;5;3;123;49;148;58;112;125
560,63632,667;993;906;637;791;1079;1005;567;870;717;739;151;499;584;152;126;251;342;126;207;471;207;237;132;340;485;480;382;387;339;53;293;262;261;429;397;11;4;4;114;49;140;58;113;125
576,63648,675;1002;913;642;791;1089;1010;567;872;718;743;152;499;588;151;130;252;337;127;206;471;204;238;133;339;480;476;381;388;335;53;292;259;261;427;394;11;4;3;114;49;139;57;112;125
592,63664,687;1011;923;647;802;1100;1016;574;878;721;747;149;503;589;151;128;252;343;125;203;471;202;239;132;335;477;472;377;381;331;53;289;256;257;422;395;11;4;4;114;49;137;58;111;124
608,63680,698;1025;935;655;806;1111;1028;580;883;727;750;154;503;592;153;125;251;345;124;202;469;204;239;133;335;473;466;370;377;327;51;286;248;252;412;393;12;4;4;107;48;137;56;109;117
624,63696,709;1040;946;664;814;1123;1038;587;887;729;758;153;505;593;159;122;250;344;126;198;468;200;238;133;323;467;456;364;368;323;48;280;239;241;403;384;11;4;3;106;48;136;55;106;111
640,63712,731;1067;958;672;828;1138;1046;595;886;734;770;154;507;596;161;118;248;348;128;195;468;199;238;134;318;460;444;356;361;320;45;271;227;229;391;375;10;4;3;105;48;135;56;103;106
656,63728,749;1090;970;690;840;1153;1059;597;887;732;773;156;511;601;160;118;249;346;128;193;467;198;237;135;314;456;435;344;356;317;45;265;218;224;377;362;10;4;4;107;51;134;54;103;107
672,63744,759;1100;975;696;857;1163;1069;603;887;736;779;158;515;601;165;122;249;346;132;194;466;199;237;136;312;456;435;343;354;319;45;264;217;223;375;360;10;4;3;107;52;132;54;106;110
688,63760,766;1106;974;700;864;1167;1073;613;883;739;783;164;521;605;166;122;251;348;132;199;470;201;239;134;315;461;441;348;356;320;46;266;223;223;376;365;12;4;3;107;53;132;54;106;118
704,63776,777;1113;981;708;871;1175;1080;620;883;737;787;165;524;609;170;125;251;350;128;200;469;202;240;132;317;464;444;352;356;320;46;268;227;223;373;365;11;4;4;103;53;131;53;106;116
720,63792,797;1140;1000;721;898;1196;1096;646;881;754;795;171;530;615;180;126;251;352;128;206;470;199;240;133;319;464;443;344;340;309;46;265;215;215;352;344;10;4;4;94;51;124;49;101;107
736,63808,847;1178;1027;746;921;1224;1120;685;894;761;813;175;543;629;190;128;248;354;130;211;473;200;239;133;318;462;432;331;316;270;45;255;198;194;319;289;9;4;4;85;41;118;45;95;93
752,63824,899;1216;1049;769;940;1247;1148;720;891;771;825;183;559;645;199;128;253;358;133;213;473;198;238;131;314;451;412;310;297;230;40;240;194;186;292;265;9;4;3;78;35;109;41;89;88
768,63840,928;1247;1069;784;957;1260;1164;745;892;780;841;187;572;655;207;128;253;361;136;213;472;200;238;132;310;441;393;302;287;215;36;230;186;173;273;248;8;4;3;70;32;107;37;87;82
784,63856,957;1278;1085;803;974;1280;1185;768;908;797;853;191;579;661;215;132;255;363;139;211;472;199;233;131;303;427;376;285;270;195;33;211;174;161;252;227;8;4;3;64;18;107;38;81;80
800,63872,983;1304;1102;815;996;1293;1206;795;919;808;861;194;585;666;221;134;254;364;139;208;469;198;232;131;294;414;353;265;265;182;32;200;155;145;239;214;6;3;3;60;14;103;33;74;74
816,63888,1009;1325;1113;826;1012;1311;1218;809;933;818;871;198;592;671;223;136;257;366;141;196;465;191;228;128;280;396;335;248;261;178;29;183;145;133;208;207;6;4;3;55;10;101;32;60;73
832,63904,1018;1332;1127;829;1026;1318;1230;817;937;830;876;195;599;677;227;136;258;367;140;188;460;190;224;123;270;382;315;236;255;171;28;178;132;119;198;206;8;4;4;52;8;103;31;58;70
848,63920,1043;1347;1137;843;1042;1331;1240;822;947;837;883;198;602;683;234;135;259;368;141;182;456;188;219;122;261;364;292;223;240;161;26;164;124;107;178;194;6;3;3;53;1;98;29;55;63
864,63936,1057;1355;1150;850;1052;1338;1247;830;952;843;886;196;603;685;234;132;257;369;140;177;447;185;216;124;244;350;273;223;236;157;25;152;116;99;171;191;8;3;3;55;3;100;29;54;60
880,63952,1048;1347;1147;842;1046;1332;1247;825;950;847;883;194;602;682;234;124;256;364;140;169;441;180;214;123;232;339;269;222;242;159;20;150;113;99;170;194;6;4;3;56;3;101;30;54;59
896,63968,1024;1326;1127;825;1034;1314;1235;801;940;837;872;186;592;668;224;120;249;356;136;162;435;179;209;124;221;333;266;223;242;169;25;152;116;103;175;200;6;3;3;59;5;102;33;58;66
912,63984,983;1290;1097;795;1002;1284;1208;761;917;820;854;169;574;653;212;109;246;351;124;156;430;175;207;121;211;333;265;223;246;175;27;157;120;110;189;212;8;3;3;61;12;103;35;61;68
928,64000,918;1231;1057;748;961;1244;1181;713;889;798;830;148;548;629;194;103;244;339;115;149;423;169;194;121;206;335;265;226;248;180;24;161;125;116;211;222;6;4;3;68;17;103;37;64;69
944,64016,842;1173;1008;698;912;1190;1140;657;857;755;800;135;522;608;171;95;235;327;106;138;414;158;189;116;194;328;261;225;256;190;24;166;132;125;233;232;7;4;3;74;19;103;37;66;71
960,64032,773;1108;951;648;848;1131;1096;590;814;725;762;122;500;588;140;91;219;313;97;126;404;148;180;113;183;323;257;226;263;191;22;169;136;133;251;240;7;4;3;78;26;102;37;70;73
976,64048,719;1034;899;605;779;1069;1048;535;768;684;720;103;465;565;120;85;206;297;86;107;384;140;169;113;171;314;252;228;266;196;20;172;135;138;262;256;6;4;3;84;37;103;37;70;74
992,64064,615;938;816;522;689;985;982;439;691;630;665;86;436;551;97;77;198;284;81;101;377;136;169;118;169;316;257;239;278;208;19;180;148;157;290;273;6;4;3;96;40;104;41;74;84
1008,64080,435;775;688;385;559;841;875;340;593;575;605;72;403;530;81;72;198;292;82;104;381;146;194;128;176;334;295;281;320;252;26;211;186;186;356;328;8;4;3;114;49;114;47;92;118
1024,64096,315;621;554;328;421;735;748;264;505;496;513;64;368;497;69;61;185;282;71;95;344;150;207;134;180;339;317;302;352;303;25;236;212;238;430;389;8;4;4;155;62;127;56;114;149
1040,64112,268;499;466;265;327;626;637;195;435;429;438;52;319;442;62;58;170;265;57;84;300;143;202;139;179;341;332;323;373;335;25;253;240;269;485;427;10;4;4;192;81;133;63;126;158
1056,64128,240;428;408;198;275;542;573;155;383;383;366;46;279;397;49;55;157;251;44;74;283;135;195;143;175;335;336;335;395;364;26;261;260;292;530;460;10;4;4;216;93;136;66;132;160
1072,64144,206;378;357;164;228;482;523;140;339;343;322;37;251;364;44;48;153;238;29;66;263;123;189;145;167;332;338;348;413;384;26;271;282;315;562;492;11;4;4;234;96;137;65;140;165
