TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,704866,0.488281,-0.427246,-0.488281,-82.3865,-3.81226,-119.811,0.650781,-9.88613,1.15801,0.358093,-0.351654,0.556976,-0.661652,-114.317,24.2667,-101.975,-10281,-28506
6,704872,0.305176,-0.244141,-0.305176,-82.381,-3.81226,-119.811,0.6125,-9.79043,1.3207,0.358093,-0.351685,0.556915,-0.661682,-114.308,24.2917,-101.95,-10281,-28506
12,704878,0.671387,-0.366211,0.12207,-82.381,-3.81226,-119.811,0.693848,-9.68994,1.31113,0.358093,-0.351685,0.556915,-0.661682,-114.275,24.2833,-101.842,-10281,-28506
18,704884,0.12207,-0.366211,-0.244141,-82.3755,-3.81226,-119.811,0.62207,-9.68994,1.35898,0.358124,-0.351685,0.556885,-0.661682,-114.258,24.3167,-101.85,-10281,-28506
24,704890,0.244141,-0.183105,0,-82.3755,-3.81226,-119.806,0.645996,-9.80479,1.1915,0.358124,-0.351685,0.556885,-0.661682,-114.242,24.3417,-101.842,-10281,-28506
30,704896,0.549316,-0.183105,-0.0610352,-82.3755,-3.81226,-119.806,0.665137,-9.72822,1.3207,0.358124,-0.351685,0.556854,-0.661682,-114.25,24.3667,-101.842,-10281,-28506
36,704902,-0.12207,-0.183105,0,-82.3755,-3.81226,-119.806,0.626855,-9.74258,1.31592,0.358154,-0.351685,0.556824,-0.661713,-114.258,24.3833,-101.942,-10281,-28506
42,704908,0.244141,-0.488281,0,-82.3755,-3.81226,-119.8,0.641211,-9.74736,1.31592,0.358154,-0.351715,0.556824,-0.661682,-114.275,24.4083,-101.95,-10281,-28506
48,704914,-0.0610352,-0.12207,0,-82.3755,-3.81226,-119.8,0.674707,-9.64688,1.39727,0.358185,-0.351715,0.556824,-0.661682,-114.283,24.4083,-101.942,-10281,-28506
54,704920,-0.305176,-0.244141,-0.12207,-82.3755,-3.81775,-119.8,0.6125,-9.73301,1.27764,0.358185,-0.351715,0.556824,-0.661682,-114.275,24.3917,-101.892,-10281,-28506
60,704926,-0.305176,-0.305176,0,-82.3755,-3.81775,-119.8,0.674707,-9.73301,1.31113,0.358185,-0.351715,0.556824,-0.661682,-114.275,24.3917,-101.85,-10281,-28506
66,704932,-0.305176,-0.610352,-0.0610352,-82.381,-3.81775,-119.795,0.645996,-9.75215,1.27764,0.358185,-0.351746,0.556824,-0.661652,-114.275,24.4417,-101.758,-10281,-28506
72,704938,0,-0.305176,-0.244141,-82.381,-3.81775,-119.795,0.631641,-9.80957,1.23457,0.358185,-0.351776,0.556824,-0.661652,-114.275,24.4333,-101.75,-10281,-28506
78,704944,0.0610352,-0.488281,0.183105,-82.381,-3.81775,-119.789,0.636426,-9.77607,1.22021,0.358185,-0.351807,0.556824,-0.661652,-114.292,24.425,-101.75,-10281,-28506
84,704950,0.12207,-0.183105,-0.244141,-82.381,-3.81775,-119.789,0.62207,-9.8,1.24414,0.358215,-0.351807,0.556824,-0.661621,-114.308,24.4333,-101.75,-10281,-28506
90,704956,0.366211,-0.366211,-0.305176,-82.3755,-3.81775,-119.789,0.631641,-9.73779,1.24893,0.358215,-0.351807,0.556793,-0.661621,-114.308,24.4,-101.75,-10281,-28506
96,704962,0.488281,-0.0610352,-0.12207,-82.3755,-3.82324,-119.784,0.631641,-9.7665,1.28721,0.358215,-0.351837,0.556763,-0.661652,-114.342,24.3583,-101.775,-10281,-28506
