Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure,Label
211905,1.19629,-9.67559,0.593359,-86.38,-7.10266,24.0381,0,0,0,-0.72052,0.658691,0.186432,-0.110046,55.75,99.2083,-43.25,-7681,-28821,Default
211911,1.1915,-9.66123,0.579004,-86.38,-7.10266,24.0381,0,0,0,-0.72052,0.658691,0.186432,-0.110046,55.7667,99.2167,-43.25,-7681,-28821,Default
211917,1.19629,-9.68037,0.559863,-86.38,-7.10266,24.0381,0,0,0,-0.72052,0.658691,0.186432,-0.110046,55.7833,99.225,-43.25,-7681,-28821,Default
211923,1.20107,-9.66123,0.550293,-86.38,-7.10266,24.0381,0,0,0,-0.72052,0.658691,0.186432,-0.110016,55.7833,99.2333,-43.2583,-7681,-28821,Default
211929,1.1915,-9.67559,0.569434,-86.38,-7.10266,24.0381,0,0,0,-0.72052,0.658722,0.186432,-0.110016,55.7667,99.2417,-43.25,-7681,-28821,Default
211935,1.20586,-9.69951,0.583789,-86.38,-7.10266,24.0326,0,0,0,-0.72052,0.658722,0.186432,-0.110016,55.7583,99.2167,-43.25,-7681,-28821,Default
211941,1.18672,-9.66123,0.598145,-86.38,-7.10266,24.0326,0,0,0,-0.72049,0.658722,0.186432,-0.110016,55.75,99.2083,-43.225,-7681,-28821,Default
211947,1.22021,-9.66602,0.574219,-86.38,-7.10266,24.0326,0,0,0,-0.72049,0.658722,0.186432,-0.110016,55.7583,99.2083,-43.1833,-7681,-28821,Default
211953,1.20107,-9.69473,0.555078,-86.3855,-7.10266,24.0326,0,0,0,-0.72049,0.658722,0.186401,-0.109985,55.7917,99.2083,-43.1333,-7681,-28821,Default
211959,1.17236,-9.68516,0.607715,-86.3855,-7.10266,24.0326,0,0,0,-0.72049,0.658722,0.186401,-0.109985,55.8083,99.2083,-43.1333,-7681,-28821,Default
211965,1.22021,-9.65645,0.574219,-86.3855,-7.10266,24.0326,0,0,0,-0.72049,0.658752,0.186401,-0.109985,55.8167,99.2167,-43.1667,-7681,-28821,Default
211971,1.21543,-9.6708,0.598145,-86.3855,-7.10266,24.0326,0,0,0,-0.72049,0.658752,0.186401,-0.109985,55.825,99.225,-43.1833,-7681,-28821,Default
211977,1.18672,-9.68037,0.574219,-86.3855,-7.10266,24.0326,0,0,0,-0.72049,0.658752,0.186401,-0.109985,55.8167,99.225,-43.2167,-7681,-28821,Default
211983,1.21543,-9.66602,0.583789,-86.3855,-7.10266,24.0271,0,0,0,-0.72049,0.658752,0.186401,-0.109985,55.8167,99.25,-43.2417,-7681,-28821,Default
211989,1.21543,-9.67559,0.583789,-86.3855,-7.10266,24.0271,0,0,0,-0.72049,0.658752,0.186401,-0.109985,55.8083,99.275,-43.2417,-7681,-28821,Default
211995,1.20586,-9.68037,0.583789,-86.3855,-7.10266,24.0271,0,0,0,-0.72049,0.658752,0.186401,-0.109955,55.8083,99.2917,-43.1917,-7681,-28821,Default
212001,1.20107,-9.67559,0.598145,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658752,0.186401,-0.109955,55.8167,99.3167,-43.1583,-7681,-28821,Default
212007,1.21064,-9.67559,0.579004,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.8167,99.3333,-43.1417,-7681,-28821,Default
212013,1.1915,-9.6708,0.598145,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.8,99.3333,-43.075,-7681,-28821,Default
212019,1.20107,-9.68516,0.579004,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.7833,98.8833,-43.075,-7681,-28821,Default
212025,1.1915,-9.68994,0.588574,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.7667,98.9417,-43.0417,-7681,-28821,Default
212031,1.20586,-9.69473,0.555078,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.7583,98.9833,-43.025,-7681,-28821,Default
212037,1.20586,-9.67559,0.588574,-86.391,-7.10266,24.0271,0,0,0,-0.720459,0.658783,0.186371,-0.109955,55.7417,99.0167,-43.0333,-7681,-28821,Default
212043,1.21064,-9.69473,0.583789,-86.391,-7.10266,24.0216,0,0,0,-0.720459,0.658813,0.186371,-0.109924,55.7333,99.0333,-43.0333,-7681,-28821,Default
212049,1.1915,-9.66602,0.62207,-86.391,-7.10266,24.0216,0,0,0,-0.720459,0.658813,0.186371,-0.109924,55.7333,99.0333,-43.0333,-7681,-28821,Default
212055,1.21064,-9.65166,0.564648,-86.391,-7.10266,24.0216,0,0,0,-0.720459,0.658813,0.18634,-0.109924,55.75,99.05,-43.0417,-7681,-28821,Default
212061,1.22021,-9.68516,0.574219,-86.3965,-7.10266,24.0216,0,0,0,-0.720459,0.658813,0.18634,-0.109924,55.7667,99.0667,-43.025,-7681,-28821,Default
212067,1.18672,-9.66602,0.583789,-86.3965,-7.10266,24.0216,0,0,0,-0.720428,0.658813,0.18634,-0.109924,55.7667,99.0667,-43.0333,-7681,-28821,Default
212073,1.18193,-9.66123,0.583789,-86.3965,-7.10266,24.0216,0,0,0,-0.720428,0.658813,0.18634,-0.109924,55.75,99.0917,-43.075,-7681,-28821,Default
212079,1.20107,-9.68037,0.579004,-86.3965,-7.10266,24.0216,0,0,0,-0.720428,0.658844,0.18634,-0.109894,55.7417,99.1167,-43.0917,-7681,-28821,Default
212085,1.21543,-9.66123,0.60293,-86.3965,-7.10266,24.0216,0,0,0,-0.720428,0.658844,0.18634,-0.109894,55.7417,99.1417,-43.075,-7681,-28821,Default
212091,1.1915,-9.65645,0.6125,-86.3965,-7.10266,24.0216,0,0,0,-0.720428,0.658844,0.18634,-0.109894,55.7333,99.1833,-43.0833,-7681,-28821,Default
212097,1.20107,-9.68516,0.569434,-86.3965,-7.10266,24.0161,0,0,0,-0.720428,0.658844,0.18634,-0.109894,55.725,99.2083,-43.0583,-7681,-28821,Default
212103,1.20586,-9.68037,0.588574,-86.3965,-7.10266,24.0161,0,0,0,-0.720428,0.658844,0.18634,-0.109894,55.75,99.25,-43.0583,-7681,-28821,Default
