Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ
23123,1.96557,-0.626494,9.6748,-0.14,-1.47,2.24
23129,1.66428,-0.334768,9.74175,-0.07,-1.54,1.54
23135,1.64515,-0.583453,9.75131,0.63,-3.01,-1.05
23141,1.69297,-0.411286,9.57915,-0.42,-0.77,0.28
23147,1.83644,-0.296509,9.57437,1.05,-1.75,2.94
23153,1.97035,-0.286944,9.66523,-0.21,-2.52,2.45
23159,1.57341,-0.669536,9.84696,-0.07,-1.89,2.59
23165,1.84122,-0.454328,9.62219,-0.7,-2.03,0.63
23171,1.85079,-0.5978,9.51219,0,-2.45,1.75
23177,2.08991,-0.645624,9.53132,0.21,-1.82,1.61
23183,1.74079,-0.569106,9.59828,-0.28,-1.33,2.52
23189,1.82209,-0.368245,9.56958,0.21,-5.32,-3.01
23195,1.88905,-0.631277,9.7561,1.26,-0.7,1.96
23201,1.80775,-0.47824,9.65088,0.56,-1.75,1.61
23207,2.066,-0.353898,9.89,0.7,-2.38,0.84
23213,1.65949,-0.291726,9.72262,-0.35,-1.89,0.14
23219,1.78384,-0.368245,9.4835,0.28,-2.38,0.7
23225,1.82688,-0.511717,9.65088,0.21,-2.66,0.07
23231,1.80296,-0.779531,9.79914,0.28,0.49,3.71
23243,1.84601,-0.454328,9.57437,-0.7,-0.91,1.26
23249,1.84601,-0.277379,9.48828,-0.35,-1.47,2.24
23255,1.82688,-0.621712,9.5648,-0.56,-1.75,3.29
23261,1.64993,-0.282162,9.6748,0.35,-3.22,1.54
23267,1.92252,-0.449546,9.61741,-0.28,-2.73,1.54
23273,1.61167,-0.483022,9.68914,0.14,-1.82,1.05
23279,1.83166,-0.45911,9.6461,0.21,-1.75,0.49
23285,1.96557,-0.253467,9.7274,-0.21,-1.96,-0.63
23291,1.91774,-0.420851,9.57915,0.28,-2.45,0.56
23297,1.64036,-0.57867,9.69871,0.14,-3.01,0.98
23303,1.70253,-0.49737,9.62697,-0.28,0.63,3.43
23309,2.08513,-0.416069,9.38785,-1.26,0.07,2.03
23315,1.64515,-0.449546,9.6748,-0.63,-0.91,1.26
23321,1.80775,-0.444763,9.7274,0.98,-1.61,2.66
23327,1.99426,-0.549976,9.7561,0.63,-1.05,0.42
23333,2.0373,-0.506934,9.49785,-0.07,-0.56,2.31
23339,2.01817,-0.621712,9.58871,-0.7,-0.98,-0.56
23345,1.76949,-0.674318,9.7274,-0.14,-0.28,0.56
23351,1.90818,-0.282162,9.78001,-0.7,-3.85,0.98
23357,1.82688,-0.511717,9.6748,-0.7,-2.87,3.78
23363,1.86992,-0.679101,9.61741,0.42,-1.19,1.4
23369,1.90818,-0.406504,9.49785,0.14,-0.35,0.14
23375,1.85079,-0.473458,9.63175,0.91,-1.47,0.14
23381,1.80775,-0.306074,9.68914,0.35,-2.1,1.4
23387,1.75992,-0.540411,9.65088,1.05,-1.89,1.82
23393,2.00383,-0.631277,9.68914,-0.07,-4.27,-1.75
23399,1.82209,-0.607365,9.67001,-0.35,-1.54,-0.35
23405,1.67862,-0.329986,9.75131,0.42,0.21,3.71
23411,1.96078,-0.492587,9.49306,0.28,-2.8,2.8
23417,1.82209,-0.35868,9.89,-0.21,-2.38,-0.42
23423,1.80775,-0.602582,9.71305,0.42,-2.45,-0.98
23429,1.86035,-0.5978,9.6461,0,-2.38,-0.49
23435,1.78384,-0.526064,9.71784,0.98,-3.78,0.91
23441,1.97991,-0.564323,9.73697,0.14,-2.87,4.2
23447,1.83166,-0.511717,9.46437,0.7,0.56,4.34
23453,1.92252,-0.659971,9.56958,-0.63,-0.35,1.26
23459,2.06121,-0.196078,9.6748,-0.63,-0.21,1.33
23465,1.86035,-0.631277,9.61741,0.7,-0.63,2.94
23471,1.82688,-0.468675,9.71784,0.63,-2.38,1.12
23477,1.99426,-0.272597,9.88522,-0.14,-1.75,3.08
23483,1.88905,-0.444763,9.49785,-1.33,-1.96,-0.49
23489,1.86992,-0.282162,9.44524,0.42,-2.59,0
23495,1.95122,-0.248685,9.76088,-0.21,-2.94,0.91
23501,1.74079,-0.286944,9.78479,0.7,-3.08,2.38
23507,1.94644,-0.25825,9.8374,-0.7,-3.29,-0.21
23513,1.86514,-0.559541,9.87566,-0.56,-0.7,1.4
23519,1.83644,-0.315638,9.6748,-0.14,-0.28,-0.35
23525,1.83644,-0.516499,9.7274,1.4,-3.57,-0.07
23531,1.86514,-0.583453,9.45002,0.49,-3.36,1.19
23537,1.71688,-0.301291,9.52654,0.42,-2.73,0.98
23543,2.066,-0.253467,9.84218,-0.14,-1.89,0.77
23549,1.94644,-0.253467,9.60784,0.07,-2.1,1.75
23555,1.75036,-0.449546,9.47394,-0.28,-1.4,1.75
23561,1.64515,-0.626494,9.59828,0.77,-2.94,1.33
23567,1.87948,-0.454328,9.6461,-0.42,-2.66,-2.45
23573,1.72166,-0.392157,9.39263,-1.4,-2.03,-0.07
23579,1.96078,-0.506934,9.65567,-0.42,-1.26,1.47
23585,1.86035,-0.573888,9.7274,0.77,-1.89,3.15
23591,1.80775,-0.439981,9.89,-0.42,-1.89,1.26
23597,1.93209,-0.621712,9.63654,-0.14,-1.82,1.19
23603,1.89383,-0.148254,9.70827,0.56,-3.01,-1.82
23609,1.97035,-0.569106,9.75131,1.33,-1.75,1.47
23615,1.956,-0.282162,9.5648,-0.28,-3.36,2.52
23621,1.85079,-0.511717,9.81349,0.84,-2.52,1.96
23627,1.76949,-0.416069,9.77044,-0.7,-2.45,-0.77
23633,1.98948,-0.664754,9.64132,0.14,-2.52,0.35
23639,1.95122,-0.334768,9.62697,-0.14,-1.61,1.05
23645,1.89383,-0.392157,9.71784,0.56,-0.63,4.9
23651,1.97991,-0.573888,9.61741,-0.98,-2.66,0.98
23657,1.84122,-0.473458,9.66045,-0.91,-0.7,2.31
23663,1.75036,-0.387374,9.64132,-0.98,-0.35,-0.42
23669,1.86035,-0.353898,9.43568,0.84,-0.42,2.59
23675,1.72645,-0.263032,9.83261,0.7,-1.47,3.29
23681,1.55906,-0.435198,9.54089,0.42,-2.31,1.33
23687,1.92252,-0.267814,9.81349,0.35,-3.64,-0.35
23693,1.55906,-0.392157,9.66045,-0.63,-2.8,1.4
23699,1.66428,-0.277379,9.54089,0.14,-3.43,1.19
23705,1.76949,-0.277379,9.54567,0.07,-3.08,3.57
23711,1.97035,-0.669536,9.77523,-1.89,-2.66,0.07
23717,1.89861,-0.401722,9.63654,-0.07,-2.94,-2.03
23723,1.67862,-0.468675,9.63175,-1.54,-0.91,0.35
23729,1.67862,-0.334768,9.55523,0.77,-1.05,3.08
23735,1.81253,-0.521282,9.64132,1.33,-5.67,-0.35
23741,1.7934,-0.626494,9.63654,0.07,-2.38,2.38
23747,1.88905,-0.722142,9.73697,-0.21,-1.33,1.89
23753,1.76471,-0.425634,9.92348,-0.56,-1.68,0.56
23759,1.7934,-0.621712,9.56958,0.21,-2.03,1.4
23765,1.6021,-0.473458,9.70827,-0.28,-2.38,0.35
23771,1.92252,-0.344333,9.47872,0.21,-2.87,0.91
23777,1.956,-0.33955,9.75131,0,-3.15,0
23783,2.01339,-0.401722,9.8374,-0.49,-0.91,1.96
23789,1.93687,-0.540411,9.87566,-0.07,-1.05,2.1
23795,1.82209,-0.640842,9.76088,0.28,-1.61,1.89
23801,2.01817,-0.334768,9.63175,0.28,-2.52,0.56
23807,1.73601,-0.549976,9.6461,0.21,-1.82,1.61
23813,1.70732,-0.502152,9.52654,0.14,-3.57,-1.05
23819,1.84601,-0.392157,9.70349,0.35,-2.1,3.15
23825,1.7934,-0.291726,9.49306,-0.7,-2.31,3.29
23831,1.79818,-0.420851,9.51698,0.56,-2.52,1.89
23837,1.65949,-0.483022,9.93305,-0.91,-2.66,-1.54
23843,1.98948,-0.382592,9.68436,0.42,-5.74,-3.99
23849,1.85079,-0.57867,9.57437,0.28,-0.84,2.52
23855,1.48733,-0.526064,9.82783,-0.42,0,3.36
23861,1.66906,-0.540411,9.71784,-1.19,-2.38,-0.14
23867,1.80775,-0.291726,9.71784,0.14,-1.54,-0.21
23873,1.51124,-0.650406,9.46915,0.14,-1.54,1.61
23879,1.65949,-0.373027,9.45002,-0.07,-1.47,1.12
23885,1.87948,-0.454328,9.73697,-0.07,-1.89,2.38
23891,1.9034,-0.353898,9.57915,0.49,-2.24,0.28
23897,1.69775,-0.731707,9.59828,0.7,-2.45,0.91
23903,1.88905,-0.47824,9.68436,0.07,-1.75,-0.35
23909,1.72645,-0.301291,9.59828,-0.56,-2.45,1.33
23915,1.68819,-0.329986,9.55523,-0.7,-4.34,0.35
23921,1.81253,-0.530846,9.70827,0.49,-3.43,3.22
23927,1.96078,-0.545194,9.55045,0.91,-1.61,1.33
23933,2.066,-0.516499,9.74653,0.07,-1.82,2.31
23939,1.71688,-0.511717,9.76088,-0.14,-2.59,-0.42
23945,1.71688,-0.463893,9.70349,0.7,-4.48,2.52
