TimeSinceCollection,Timestamp,PlantarValue
192,98724,2.4397;4.18239;3.04841;2.87759;2.782;6.38415;4.7379;1.75823;6.58568;5.8383;2.42779;0.987011;2.39238;3.25928;1.00275;1.09638;1.47978;1.38446;0.941157;1.09066;1.86743;1.27489;1.24232;1.05689;1.58108;2.23328;2.52455;2.13615;2.13615;2.32297;1.61351;3.56656;4.4833;4.80354;10.9449;14.0082;1.00275;0.926314;0.926314;1.93396;1.42043;2.42779;1.43506;1.96313;2.42779
208,98740,2.07356;3.58343;2.6893;2.65044;2.3459;5.05126;3.93644;1.62995;5.2624;5.07434;2.10464;0.981816;2.04289;2.75522;0.987011;1.05689;1.36328;1.30151;0.926314;1.06245;1.75823;1.22951;1.21682;1.06804;1.5103;2.18963;2.47574;2.1574;2.1256;2.3459;1.63823;3.51636;4.4833;4.80354;10.9907;14.4101;1.00275;0.926314;0.921414;1.94364;1.39159;2.4397;1.42773;1.9927;2.39238
224,98756,1.72315;2.97615;2.1574;2.26654;2.02268;3.95488;3.07776;1.5103;4.08619;4.18239;1.81208;0.981816;1.7494;2.4397;0.961288;1.04585;1.31501;1.19801;0.921414;1.05689;1.68871;1.21052;1.22951;1.06804;1.48736;2.1574;2.36904;2.13615;2.1574;2.39238;1.63823;3.38561;4.58785;4.84775;11.1756;14.8219;0.997477;0.926314;0.926314;2.00265;1.31501;2.48786;1.42773;1.95337;2.36904
240,98772,1.46473;2.2554;1.803;2.05307;1.67173;3.06305;2.4397;1.40594;3.38561;3.22837;1.58108;0.976648;1.58108;2.21135;0.956217;1.03492;1.28814;1.17335;0.921414;1.04037;1.61351;1.1918;1.22951;1.02949;1.48736;2.02268;2.22229;2.1574;2.1574;2.46367;1.64655;3.3219;4.52487;4.69458;10.9449;15.4279;1.00275;0.926314;0.946153;1.9927;1.36328;2.41594;1.42773;1.97294;2.32297
256,98788,1.34933;1.84881;1.61351;1.91474;1.46473;2.4397;1.91474;1.31501;2.75522;2.5868;1.37737;0.971503;1.50261;1.94364;0.946153;1.02949;1.25526;1.14317;0.921414;1.00804;1.49497;1.16119;1.21052;1.05136;1.42773;1.9828;2.03276;2.06329;2.04289;2.46367;1.6549;3.29046;4.28061;4.58785;10.1058;15.4897;1.01337;0.926314;0.961288;2.04289;1.39159;2.45166;1.41317;1.93396;2.28896
272,98804,1.19801;1.54926;1.44243;1.6802;1.37737;1.9927;1.75823;1.27489;2.24432;1.88623;1.22951;0.976648;1.44243;1.51802;0.946153;0.981816;1.19801;1.07365;0.921414;0.987011;1.42043;1.14915;1.16725;1.02949;1.39875;1.91474;1.94364;1.96313;1.96313;2.42779;1.59722;3.16734;3.77388;4.28061;9.76979;15.0015;1.01872;0.926314;0.976648;2.09424;1.39875;2.41594;1.41317;1.93396;2.17883
288,98820,1.03492;1.34933;1.25526;1.51802;1.2815;1.6549;1.48736;1.22315;1.96313;1.58108;1.12542;0.966383;1.32181;1.42773;0.941157;0.961288;1.16725;1.05689;0.91654;0.976648;1.35628;1.11372;1.12542;1.03492;1.29481;1.88623;1.86743;1.91474;1.90519;2.36904;1.55716;2.99047;3.58343;4.16299;9.72848;14.8219;1.04037;0.926314;0.976648;2.20047;1.39875;2.45166;1.42773;1.94364;2.1574
304,98836,0.976648;1.14915;1.07929;1.36328;1.20425;1.44243;1.3355;1.16119;1.68871;1.41317;1.09638;0.961288;1.19801;1.2815;0.946153;0.946153;1.14915;1.04037;0.921414;0.971503;1.28814;1.07929;1.11372;1.03492;1.21682;1.81208;1.803;1.84881;1.84881;2.4397;1.54926;2.89148;3.56656;4.0672;9.0108;13.7272;1.05689;0.926314;0.987011;2.3459;1.48736;2.4397;1.42043;1.96313;2.1574
320,98852,0.941157;1.00275;1.02949;1.25526;1.09638;1.25526;1.15516;1.12542;1.36328;1.24232;1.00804;0.951172;1.17335;1.14915;0.936185;0.941157;1.13723;1.04037;0.921414;0.961288;1.25526;1.07929;1.07929;1.04585;1.14915;1.72315;1.70585;1.77602;1.83957;2.38069;1.50261;2.83626;3.70359;4.22143;9.89463;13.3964;1.02949;0.931237;1.00804;2.87759;1.6802;2.39238;1.40594;2.01265;2.1574
336,98868,0.941157;0.941157;0.987011;1.17335;1.01872;1.15516;1.07365;1.08496;1.21682;1.11955;0.951172;0.956217;1.18562;1.13131;0.921414;0.936185;1.10791;1.04037;0.91654;0.946153;1.15516;1.05136;1.07365;1.03492;1.05136;1.58108;1.60535;1.61351;1.77602;2.18963;1.43506;2.75522;3.89977;4.42161;10.2344;14.4101;1.05689;0.941157;1.09066;3.63449;1.86743;2.3459;1.42773;1.97294;2.22229
