TimeSinceCollection,Timestamp,PlantarValue
176,966771,0.0136718;0.122696;0.400999;0.233176;266.449;406.796;153.616;0.057882;36.8659;45.6845;10.4522;0.0377926;2.78266;0.78105;0.0168229;0.647678;1.57731;0.0762882;0.0107881;0.0922495;0.233176;0.0415426;0.0103046;0.0084906;0.153623;1.12706;1.5561;0.112233;0.0514191;0.0283753;0.0937771;2.26026;176.774;463.753;17.1171;9.39174;0.00872963;0.0119291;0.0355759;0.0117134;0.0139217;0.0214052;0.0613947;0.00841231;0.0121486
192,966787,0.0137962;0.122696;0.410117;0.233176;267.129;406.796;154.624;0.057882;36.6947;45.6845;10.5698;0.0374681;2.78266;0.78105;0.0168229;0.642996;1.5561;0.0769243;0.0107881;0.0922495;0.233176;0.0422612;0.0103046;0.00841231;0.153623;1.12706;1.54559;0.112233;0.0514191;0.0286246;0.0937771;2.26026;177.324;463.753;17.1171;9.33864;0.00872963;0.0119291;0.0355759;0.011607;0.0139217;0.0212161;0.0593636;0.0084906;0.0121486
208,966803,0.0136718;0.122696;0.407056;0.233176;266.449;407.532;155.13;0.057882;37.0378;45.8892;10.6885;0.0374681;2.78266;0.786655;0.0171274;0.647678;1.56667;0.0775653;0.0109875;0.0922495;0.233176;0.0429917;0.0103996;0.00841231;0.153623;1.12706;1.54559;0.112233;0.0514191;0.0286246;0.0937771;2.26026;177.324;464.452;17.1171;9.28581;0.00864923;0.0119291;0.0355759;0.0115015;0.0139217;0.0212161;0.0598653;0.00841231;0.0121486
224,966819,0.0135484;0.121708;0.407056;0.226031;266.449;406.796;155.13;0.0569138;36.8659;45.8892;10.6885;0.0374681;2.80063;0.792297;0.0174372;0.647678;1.56667;0.0775653;0.0107881;0.0922495;0.233176;0.0415426;0.0103046;0.00841231;0.152403;1.12706;1.54559;0.112233;0.0518571;0.0288759;0.09455;2.26026;178.427;465.15;17.0275;9.33864;0.00872963;0.0119291;0.0355759;0.0118208;0.0139217;0.0214052;0.0603711;0.00841231;0.0121486
240,966835,0.0134262;0.120728;0.407056;0.212354;264.412;404.587;155.13;0.0569138;36.6947;45.6845;10.7482;0.0374681;2.80063;0.797976;0.0174372;0.65239;1.57731;0.0782113;0.0107881;0.0930104;0.234995;0.0415426;0.00993273;0.00841231;0.153623;1.12706;1.56667;0.113148;0.0518571;0.0288759;0.09455;2.27514;177.875;465.847;17.2071;9.44509;0.00872963;0.0119291;0.0349656;0.0117134;0.0139217;0.0214052;0.0613947;0.00841231;0.0121486
256,966851,0.0131847;0.119755;0.404017;0.212354;263.734;403.85;153.113;0.0569138;36.6947;45.6845;10.6885;0.0374681;2.83687;0.797976;0.0179118;0.65239;1.58802;0.0782113;0.0107881;0.0914946;0.233176;0.0419005;0.0104954;0.00841231;0.154853;1.13493;1.56667;0.113148;0.0522986;0.0291294;0.0937771;2.27514;179.533;467.24;17.2975;9.49872;0.00881073;0.0120384;0.0355759;0.0117134;0.0139217;0.0212161;0.0613947;0.0084906;0.0121486
272,966867,0.0131847;0.115936;0.400999;0.209058;261.032;399.424;153.113;0.0569138;36.5241;45.4805;10.6885;0.0374681;2.83687;0.797976;0.0177522;0.657134;1.60962;0.0782113;0.0108873;0.0937771;0.236827;0.0422612;0.0103996;0.00841231;0.154853;1.13493;1.56667;0.11407;0.0522986;0.0291294;0.0937771;2.30514;179.533;467.935;17.8486;9.55261;0.00872963;0.0120384;0.0355759;0.0117134;0.0139217;0.0215958;0.0624349;0.00841231;0.0122597
288,966883,0.0131847;0.112233;0.389135;0.20581;258.341;397.208;151.113;0.0573961;36.5241;45.4805;10.6885;0.0374681;2.85514;0.809447;0.0180728;0.66191;1.6315;0.08018;0.0107881;0.0937771;0.242404;0.0422612;0.0103996;0.00841231;0.15734;1.1508;1.56667;0.115936;0.0527436;0.0296426;0.0953286;2.30514;181.759;470.707;18.2243;9.77088;0.00864923;0.0119291;0.0355759;0.0117134;0.0139217;0.0214052;0.0624349;0.0084906;0.0120384
304,966899,0.0131847;0.108641;0.377599;0.196347;250.342;390.555;148.637;0.0569138;36.3542;45.4805;10.6885;0.0377926;2.85514;0.82694;0.0179118;0.671559;1.66483;0.0795186;0.0108873;0.0953286;0.24429;0.0429917;0.0103996;0.00841231;0.158598;1.15881;1.56667;0.11688;0.0531923;0.0301644;0.0961134;2.38174;182.878;473.468;18.6068;9.99353;0.00872963;0.0121486;0.0358849;0.0117134;0.0139217;0.0215958;0.062961;0.0084906;0.0121486
320,966915,0.0129474;0.103456;0.371952;0.19177;247.042;392.034;147.164;0.0564356;36.1849;45.0747;10.6885;0.0381198;2.89203;0.82694;0.0180728;0.676433;1.71024;0.0821954;0.0108873;0.0961134;0.24619;0.0429917;0.0107881;0.0084906;0.158598;1.175;1.57731;0.11688;0.0531923;0.0299024;0.0961134;2.4288;187.964;474.843;18.8982;10.1634;0.00864923;0.0121486;0.0358849;0.0118208;0.0139217;0.0212161;0.0619127;0.00841231;0.0121486
336,966931,0.0130656;0.102615;0.366383;0.19177;247.7;389.075;146.188;0.0569138;36.1849;45.0747;10.6885;0.0377926;2.92934;0.844784;0.0177522;0.681339;1.73337;0.0828779;0.0109875;0.0961134;0.248103;0.0429917;0.0103996;0.00841231;0.158598;1.175;1.58802;0.117831;0.0536446;0.0301644;0.0993138;2.4288;184.564;477.583;19.2928;10.629;0.00872963;0.0122597;0.0361964;0.0118208;0.0139217;0.0214052;0.062961;0.00841231;0.0122597
