TimeSinceCollection,Timestamp,PlantarValue
192,24804,15.4897;29.9302;25.6589;22.0807;37.1781;80.7182;56.5431;45.5051;75.3433;61.2408;39.848;6.61492;37.1781;43.8473;22.3335;6.4126;12.0419;10.8993;3.65166;8.12672;12.4966;7.0677;5.58132;2.50004;11.4581;14.8219;16.1833;13.9516;16.1833;9.48385;5.63189;13.0193;16.377;17.7902;37.1781;41.9517;1.2359;0.997477;1.27489;3.36958;3.72105;2.87759;1.803;2.05307;2.30025
208,24820,15.4897;29.9302;25.5638;22.0807;37.1781;80.9583;56.5431;45.5051;75.5712;61.2408;39.9855;6.58568;37.1781;43.5512;22.3335;6.44116;12.0419;10.8538;3.65166;8.16197;12.548;7.03668;5.60656;2.51227;11.4581;14.8816;16.377;14.0082;16.1833;9.48385;5.65734;13.0193;16.5073;17.5821;37.1781;42.9639;1.22951;0.997477;1.2815;3.36958;3.6689;2.87759;1.8212;2.04289;2.30025
224,24836,15.4279;29.822;25.469;21.997;37.0486;80.2396;56.18;45.3523;75.5712;61.2408;39.9855;6.58568;37.1781;43.5512;22.4183;6.4126;12.0917;10.8538;3.65166;8.19735;12.548;7.09886;5.5562;2.48786;11.3633;14.8816;16.3122;14.0651;16.1833;9.48385;5.63189;13.0193;16.5073;17.5821;37.308;43.1102;1.22951;0.997477;1.27489;3.40171;3.70359;2.87759;1.8212;2.04289;2.32297
240,24852,15.4279;29.7141;25.469;21.997;37.308;80.2396;56.18;45.3523;75.3433;61.0472;39.848;6.58568;37.1781;43.5512;22.5034;6.44116;12.0917;10.8993;3.6689;8.23287;12.5996;7.13012;5.53117;2.51227;11.4581;14.8219;16.377;14.1221;16.2477;9.56479;5.65734;13.0726;16.5728;17.7902;37.7;43.2568;1.24232;0.997477;1.26832;3.43412;3.70359;2.89148;1.83036;2.04289;2.31158
256,24868,15.4279;29.9302;25.6589;21.997;37.0486;80.4786;56.3613;45.5051;74.8892;61.2408;40.1234;6.61492;37.308;43.6991;22.5034;6.49862;12.0419;10.9449;3.70359;8.26852;12.5996;7.1615;5.60656;2.5369;11.4581;14.8816;16.377;14.1221;16.3122;9.56479;5.65734;13.0726;16.5728;17.7206;37.5689;43.2568;1.25526;1.00275;1.2815;3.43412;3.70359;2.87759;1.83036;2.04289;2.31158
272,24884,15.5516;29.9302;25.7543;22.1647;37.308;81.1989;56.7254;45.6583;76.2579;61.4349;40.4003;6.64428;37.4383;43.6991;22.6744;6.55654;12.0917;10.9907;3.70359;8.3043;12.5996;7.19301;5.53117;2.54929;11.5537;14.9415;16.4421;14.1793;16.2477;9.56479;5.65734;13.1261;16.6385;17.7206;37.5689;43.4038;1.24878;0.997477;1.2815;3.45043;3.72105;2.89148;1.83036;2.04289;2.31158
288,24900,15.6763;30.0387;25.8499;22.6744;37.308;81.4401;56.7254;45.8119;76.4879;61.4349;40.2617;6.67376;37.308;43.8473;22.6744;6.55654;12.1918;10.9449;3.72105;8.3043;12.6514;7.22464;5.58132;2.54929;11.5537;15.3664;16.5073;14.2367;16.377;9.60548;5.65734;13.1261;16.7706;17.7206;37.5689;43.4038;1.24878;0.997477;1.2815;3.46681;3.7562;2.89148;1.8212;2.04289;2.32297
304,24916,15.6138;30.0387;25.9459;22.1647;37.308;81.4401;56.9082;45.9659;76.4879;61.6295;40.4003;6.70335;37.4383;43.8473;22.7603;6.58568;12.1918;10.9907;3.7562;8.37629;12.7556;7.19301;5.60656;2.56174;11.5537;14.8816;16.5073;14.2367;16.4421;9.56479;5.65734;13.1261;16.7044;17.86;37.8314;43.2568;1.24232;1.00275;1.2815;3.48326;3.70359;2.90544;1.83036;2.04289;2.30025
320,24932,15.5516;29.822;25.7543;22.1647;37.1781;80.7182;56.7254;45.5051;76.2579;61.4349;40.2617;6.67376;37.4383;43.8473;22.8465;6.61492;12.1417;10.9907;3.79164;8.44884;12.808;7.2564;5.63189;2.56174;11.6017;14.9415;16.5728;14.4101;16.5073;9.60548;5.68288;13.2336;16.9035;17.86;37.9632;43.5512;1.2359;1.00275;1.28814;3.51636;3.70359;2.89148;1.83036;2.05307;2.30025
336,24948,15.3664;29.7141;25.5638;22.0807;36.7906;80.2396;55.8187;45.3523;75.3433;61.2408;39.9855;6.58568;37.308;43.8473;22.6744;6.64428;12.1417;10.9449;3.7562;8.44884;12.808;7.2564;5.63189;2.5868;11.6499;14.9415;16.5728;14.4101;16.5728;9.68733;5.70852;13.2336;16.9035;17.86;38.2278;43.6991;1.24232;1.00275;1.28814;3.56656;3.6689;2.89148;1.8212;2.05307;2.28896
