TimeSinceCollection,Timestamp,PlantarValue
192,19524,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.921414;0.911689;0.931237;0.936185;0.911689;0.911689;0.91654;0.936185;0.90686;0.921414;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.4833;6.29948;19.9131;17.3079;34.4131;41.3821;1.25526;2.41594;3.1825;4.98259;9.81124;3.38561;4.50404;6.44116;20.2223
208,19540,0.926314;0.91654;0.921414;0.936185;0.911689;0.921414;0.921414;0.936185;0.90686;0.91654;0.926314;0.936185;0.90686;0.911689;0.926314;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.10528;5.97071;18.4272;16.1833;33.6892;40.4003;1.24232;2.3459;3.06305;4.93728;9.52425;3.36958;4.28061;6.29948;19.0837
224,19556,0.926314;0.91654;0.91654;0.941157;0.911689;0.91654;0.921414;0.941157;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.911689;0.941157;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;4.18239;5.63189;17.9301;15.6763;32.2793;39.848;1.22315;2.3459;3.04841;4.91475;9.12706;3.30614;4.24107;6.21581;19.457
240,19572,0.926314;0.91654;0.921414;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.966383;0.90686;0.911689;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.921414;0.90686;4.18239;5.4814;17.5821;15.2439;31.2544;39.1662;1.22951;2.24432;2.99047;4.84775;9.04941;3.21301;4.3005;6.13313;19.0098
256,19588,0.926314;0.91654;0.921414;0.941157;0.911689;0.91654;0.921414;0.931237;0.90686;0.91654;0.921414;0.941157;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.941157;0.911689;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.91654;0.926314;0.90686;4.12443;5.5562;17.3079;14.9415;30.6968;39.031;1.22951;2.30025;2.93354;4.80354;8.97233;3.22837;4.14367;6.02441;19.0837
272,19604,0.931237;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.91654;0.926314;0.90686;4.16299;5.65734;17.1047;14.9415;30.3663;38.494;1.22951;2.24432;3.04841;4.67306;8.78217;3.21301;4.10528;6.05143;18.6438
288,19620,0.946153;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.911689;0.90686;0.91654;0.921414;0.936185;0.911689;0.911689;0.926314;0.926314;0.941157;0.90686;0.91654;0.921414;0.926314;0.90686;4.18239;5.65734;17.1047;14.6442;29.7141;37.8314;1.21682;2.30025;3.01931;4.50404;9.0108;3.19772;4.14367;5.86456;18.284
304,19636,0.926314;0.911689;0.926314;0.936185;0.90686;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.926314;0.91654;0.926314;0.936185;0.90686;0.911689;0.91654;0.926314;0.90686;4.24107;5.65734;17.0374;14.8816;29.0736;36.4064;1.21682;2.26654;2.94768;4.42161;8.6698;3.16734;4.10528;5.65734;17.24
320,19652,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.911689;0.921414;0.941157;0.90686;0.911689;0.91654;0.936185;0.90686;0.911689;0.921414;0.936185;0.91654;0.911689;0.91654;0.926314;0.936185;0.90686;0.91654;0.921414;0.926314;0.90686;4.3005;5.63189;17.3079;14.8219;29.1796;35.5229;1.21682;2.27772;2.94768;4.28061;8.44884;3.06305;3.95488;5.50623;15.7389
336,19668,0.926314;0.921414;0.921414;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.91654;0.911689;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.921414;0.91654;0.926314;0.936185;0.911689;0.911689;0.921414;0.926314;0.90686;4.34054;5.73427;17.3079;14.8219;28.968;33.9291;1.22315;2.27772;2.94768;4.08619;7.78161;3.04841;3.80947;5.14414;13.2877
352,19684,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.911689;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;4.3809;5.63189;17.24;14.4683;28.7577;34.0496;1.21682;2.2554;2.93354;4.08619;7.58083;3.00486;3.86342;5.07434;12.548
368,19700,0.926314;0.911689;0.921414;0.936185;0.90686;0.91654;0.91654;0.946153;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.911689;0.91654;0.926314;0.936185;0.90686;0.921414;0.91654;0.926314;0.90686;4.28061;5.38308;16.8369;14.1793;28.4448;34.535;1.20425;2.2554;2.90544;4.24107;7.54782;2.96188;3.79164;5.14414;12.3942
384,19716,0.926314;0.911689;0.91654;0.936185;0.911689;0.911689;0.91654;0.941157;0.911689;0.91654;0.91654;0.946153;0.90686;0.91654;0.921414;0.941157;0.911689;0.911689;0.911689;0.936185;0.90686;0.911689;0.91654;0.926314;0.936185;0.91654;0.911689;0.911689;0.931237;0.90686;4.08619;5.2624;16.0552;13.839;27.7255;34.1704;1.20425;2.21135;2.87759;4.22143;7.32028;2.94768;3.82738;5.12078;12.2421
400,19732,0.926314;0.911689;0.90686;0.936185;0.90686;0.911689;0.90686;0.936185;0.911689;0.91654;0.921414;0.941157;0.911689;0.911689;0.926314;0.936185;0.90686;0.911689;0.926314;0.936185;0.90686;0.921414;0.921414;0.926314;0.941157;0.90686;0.911689;0.921414;0.926314;0.90686;3.99201;5.19116;15.5516;13.4511;27.3215;34.2915;1.19801;2.18963;2.83626;4.24107;7.19301;2.93354;3.79164;5.23856;12.7556
416,19748,0.941157;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.911689;0.91654;0.921414;0.926314;0.936185;0.911689;0.91654;0.91654;0.926314;0.90686;4.04829;5.12078;15.4897;13.342;27.2212;35.2738;1.21052;2.20047;2.82261;4.28061;7.28828;2.93354;3.73859;5.23856;12.3434
432,19764,0.936185;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.911689;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.936185;0.911689;0.911689;0.91654;0.926314;0.936185;0.90686;0.91654;0.931237;0.926314;0.90686;4.0672;5.1676;15.4279;13.342;27.3215;35.2738;1.1918;2.16809;2.84998;4.32048;7.44955;2.87759;3.6689;5.14414;12.808
