TimeSinceCollection,Timestamp,PlantarValue
192,245604,2.6376;5.31038;5.00539;6.55654;10.8085;24.1729;17.0374;10.8993;21.0132;19.5324;12.3942;1.77602;14.9415;23.1067;4.58785;1.83036;4.4833;3.79164;1.32181;1.58108;2.80901;1.58108;1.91474;1.26177;4.14367;6.24359;8.6698;5.63189;5.70852;3.30614;3.10736;6.79285;9.76979;9.20532;19.9901;16.3122;0.946153;1.19801;1.14915;1.95337;1.58108;2.07356;1.45726;1.41317;2.41594
208,245620,2.59942;5.12078;4.91475;6.29948;10.6289;23.1067;16.5728;10.8085;20.4569;19.0837;12.1918;1.75823;14.8219;22.7603;4.50404;1.8212;4.4833;3.79164;1.32864;1.58108;2.76858;1.58108;1.92433;1.25526;4.16299;6.29948;8.78217;5.70852;5.76012;3.35362;3.19772;6.73306;9.72848;9.44361;20.3003;16.5073;0.946153;1.20425;1.16119;1.9927;1.61351;2.06329;1.45726;1.42773;2.39238
224,245636,2.54929;5.02828;4.84775;6.16057;10.2344;22.5888;16.1833;10.2776;19.9901;18.7895;12.0917;1.74061;14.7032;22.5888;4.50404;1.83036;4.50404;3.80947;1.32181;1.59722;2.82261;1.58108;1.94364;1.24878;4.20187;6.4126;8.74457;5.86456;5.81214;3.36958;3.24379;6.79285;9.97864;9.68733;20.6938;16.7044;0.946153;1.21682;1.14915;2.03276;1.66329;2.05307;1.44983;1.43506;2.4397
240,245652,2.5369;4.89233;4.75969;6.13313;9.89463;21.7475;15.6763;9.76979;19.3818;18.284;11.9923;1.74061;14.6442;22.5034;4.44209;1.83036;4.50404;3.82738;1.32181;1.59722;2.80901;1.58108;1.9828;1.24878;4.24107;6.4126;8.89585;5.89094;5.86456;3.43412;3.30614;6.76289;9.93656;9.72848;21.1746;16.9704;0.946153;1.2359;1.16725;2.05307;1.67173;2.07356;1.46473;1.45726;2.48786
256,245668,2.5369;4.78157;4.58785;6.02441;9.81124;21.1746;15.1223;9.32379;18.7895;17.7206;11.7955;1.69726;14.4683;22.4183;4.44209;1.8212;4.4833;3.80947;1.32181;1.59722;2.80901;1.58914;1.95337;1.24878;4.2608;6.4126;8.93401;5.97071;5.9975;3.49977;3.36958;6.79285;10.0633;9.93656;21.6648;17.5821;0.946153;1.22951;1.16725;2.07356;1.68871;2.09424;1.45726;1.46473;2.47574
272,245684,2.48786;4.65162;4.56677;5.89094;9.32379;20.2223;14.7032;9.24466;18.1417;17.3079;11.5058;1.6549;14.4683;22.1647;4.42161;1.83036;4.44209;3.79164;1.32181;1.60535;2.84998;1.59722;1.94364;1.25526;4.3005;6.49862;9.04941;6.05143;6.07855;3.54975;3.36958;6.91381;10.2344;10.1058;21.7475;17.7902;0.951172;1.25526;1.18562;2.1151;1.72315;2.1151;1.45726;1.46473;2.50004
288,245700,2.42779;4.58785;4.56677;5.78608;9.20532;19.8365;14.6442;8.93401;17.7902;16.7706;11.2691;1.62995;14.2367;21.997;4.34054;1.8212;4.46265;3.79164;1.32181;1.61351;2.83626;1.58108;1.93396;1.24878;4.32048;6.58568;9.08817;6.10579;6.18814;3.56656;3.41788;6.94435;10.2344;10.2776;22.0807;18.2127;0.946153;1.25526;1.18562;2.16809;1.74061;2.1151;1.48736;1.47978;2.51227
304,245716,2.4397;4.56677;4.4833;5.78608;9.12706;19.608;14.5268;8.6698;18.0709;16.7706;11.1756;1.6549;14.1793;21.997;4.34054;1.8212;4.4833;3.77388;1.32181;1.61351;2.84998;1.59722;1.93396;1.24232;4.34054;6.64428;9.20532;6.16057;6.29948;3.54975;3.45043;7.00578;10.321;10.452;22.3335;18.284;0.951172;1.26832;1.18562;2.17883;1.7671;2.1256;1.54139;1.50261;2.51227
320,245732,2.4397;4.50404;4.44209;5.68288;9.16612;19.0837;14.2943;8.81992;17.9301;16.7044;11.1292;1.6549;14.1221;22.0807;4.3809;1.83036;4.44209;3.7562;1.30151;1.61351;2.86375;1.59722;1.92433;1.22951;4.40121;6.67376;9.20532;6.18814;6.44116;3.60038;3.49977;7.03668;10.452;10.5845;22.5034;18.3555;0.946153;1.2815;1.19801;2.23328;1.83036;2.13615;1.51802;1.51802;2.52455
336,245748,2.39238;4.40121;4.40121;5.53117;8.97233;18.4992;13.839;8.44884;17.7206;16.5073;10.9907;1.6549;14.1221;21.9136;4.42161;1.83036;4.44209;3.73859;1.30824;1.62171;2.84998;1.58108;1.94364;1.2359;4.44209;6.70335;9.24466;6.18814;6.55654;3.70359;3.48326;7.13012;10.6736;10.8085;23.1067;18.7165;0.946153;1.2815;1.19801;2.30025;1.88623;2.13615;1.51802;1.51802;2.54929
