0,0
-1.1581,-0.018376
-2.315,-0.073486
-3.4695,-0.16527
-4.6206,-0.29365
-5.7671,-0.45848
-6.9077,-0.6596
-8.0413,-0.89681
-9.1669,-1.1699
-10.283,-1.4785
-11.389,-1.8224
-12.484,-2.2012
-13.566,-2.6146
-14.634,-3.062
-15.688,-3.5432
-16.725,-4.0575
-17.746,-4.6045
-18.749,-5.1836
-19.733,-5.7942
-20.698,-6.4358
-21.641,-7.1076
-22.563,-7.8091
-23.462,-8.5394
-24.337,-9.2978
-25.188,-10.084
-26.013,-10.896
-26.813,-11.734
-27.585,-12.598
-28.329,-13.485
-29.045,-14.395
-29.732,-15.328
-30.389,-16.282
-31.015,-17.256
-31.61,-18.25
-32.173,-19.262
-32.704,-20.292
-33.202,-21.337
-33.666,-22.398
-34.096,-23.474
-34.493,-24.562
-34.854,-25.662
-35.18,-26.774
-35.471,-27.895
-35.726,-29.025
-35.945,-30.162
-36.128,-31.306
-36.275,-32.454
-36.385,-33.607
-36.459,-34.763
-36.495,-35.921
-36.495,-37.079
-36.459,-38.237
-36.385,-39.393
-36.275,-40.546
-36.128,-41.694
-35.945,-42.838
-35.726,-43.975
-35.471,-45.105
-35.18,-46.226
-34.854,-47.338
-34.493,-48.438
-34.096,-49.526
-33.666,-50.602
-33.202,-51.663
-32.704,-52.708
-32.173,-53.738
-31.61,-54.75
-31.015,-55.744
-30.389,-56.718
-29.732,-57.672
-29.045,-58.605
-28.329,-59.515
-27.585,-60.402
-26.813,-61.266
-26.013,-62.104
-25.188,-62.916
-24.337,-63.702
-23.462,-64.461
-22.563,-65.191
-21.641,-65.892
-20.698,-66.564
-19.733,-67.206
-18.749,-67.816
-17.746,-68.396
-16.725,-68.942
-15.688,-69.457
-14.634,-69.938
-13.566,-70.385
-12.484,-70.799
-11.389,-71.178
-10.283,-71.521
-9.1669,-71.83
-8.0413,-72.103
-6.9077,-72.34
-5.7671,-72.542
-4.6206,-72.706
-3.4695,-72.835
-2.315,-72.927
-1.1581,-72.982
-7.1054e-15,-73
84.39,-73
82.668,-73
80.946,-73
79.223,-73
77.501,-73
75.779,-73
74.057,-73
72.334,-73
70.612,-73
68.89,-73
67.168,-73
65.445,-73
63.723,-73
62.001,-73
60.279,-73
58.556,-73
56.834,-73
55.112,-73
53.39,-73
51.667,-73
49.945,-73
48.223,-73
46.501,-73
44.778,-73
43.056,-73
41.334,-73
39.612,-73
37.889,-73
36.167,-73
34.445,-73
32.723,-73
31,-73
29.278,-73
27.556,-73
25.834,-73
24.111,-73
22.389,-73
20.667,-73
18.945,-73
17.222,-73
15.5,-73
13.778,-73
12.056,-73
10.333,-73
8.6112,-73
6.889,-73
5.1667,-73
3.4445,-73
1.7222,-73
0,-73
84.39,-73
85.548,-72.982
86.705,-72.927
87.86,-72.835
89.011,-72.706
90.157,-72.542
91.298,-72.34
92.431,-72.103
93.557,-71.83
94.673,-71.521
95.779,-71.178
96.874,-70.799
97.956,-70.385
99.024,-69.938
100.08,-69.457
101.12,-68.942
102.14,-68.396
103.14,-67.816
104.12,-67.206
105.09,-66.564
106.03,-65.892
106.95,-65.191
107.85,-64.461
108.73,-63.702
109.58,-62.916
110.4,-62.104
111.2,-61.266
111.97,-60.402
112.72,-59.515
113.44,-58.605
114.12,-57.672
114.78,-56.718
115.4,-55.744
116,-54.75
116.56,-53.738
117.09,-52.708
117.59,-51.663
118.06,-50.602
118.49,-49.526
118.88,-48.438
119.24,-47.338
119.57,-46.226
119.86,-45.105
120.12,-43.975
120.34,-42.838
120.52,-41.694
120.67,-40.546
120.78,-39.393
120.85,-38.237
120.89,-37.079
120.89,-35.921
120.85,-34.763
120.78,-33.607
120.67,-32.454
120.52,-31.306
120.34,-30.162
120.12,-29.025
119.86,-27.895
119.57,-26.774
119.24,-25.662
118.88,-24.562
118.49,-23.474
118.06,-22.398
117.59,-21.337
117.09,-20.292
116.56,-19.262
116,-18.25
115.4,-17.256
114.78,-16.282
114.12,-15.328
113.44,-14.395
112.72,-13.485
111.97,-12.598
111.2,-11.734
110.4,-10.896
109.58,-10.084
108.73,-9.2978
107.85,-8.5394
106.95,-7.8091
106.03,-7.1076
105.09,-6.4358
104.12,-5.7942
103.14,-5.1836
102.14,-4.6045
101.12,-4.0575
100.08,-3.5432
99.024,-3.062
97.956,-2.6146
96.874,-2.2012
95.779,-1.8224
94.673,-1.4785
93.557,-1.1699
92.431,-0.89681
91.298,-0.6596
90.157,-0.45848
89.011,-0.29365
87.86,-0.16527
86.705,-0.073486
85.548,-0.018376
84.39,0
0,0
1.7222,0
3.4445,0
5.1667,0
6.889,0
8.6112,0
10.333,0
12.056,0
13.778,0
15.5,0
17.222,0
18.945,0
20.667,0
22.389,0
24.111,0
25.834,0
27.556,0
29.278,0
31,0
32.723,0
34.445,0
36.167,0
37.889,0
39.612,0
41.334,0
43.056,0
44.778,0
46.501,0
48.223,0
49.945,0
51.667,0
53.39,0
55.112,0
56.834,0
58.556,0
60.279,0
62.001,0
63.723,0
65.445,0
67.168,0
68.89,0
70.612,0
72.334,0
74.057,0
75.779,0
77.501,0
79.223,0
80.946,0
82.668,0
84.39,0
